timestamp_s,mean_abs_delta,p95_abs_delta,median_chroma,p95_chroma,peak_x_norm,centroid_x_norm
1.85,17.635353088378906,54.0,2.0,2.0,0.01646090534979424,0.44249925121223366
1.866667,17.634765625,54.0,2.0,2.0,0.01646090534979424,0.4424850660225875
1.883333,17.63339614868164,54.0,2.0,2.0,0.01646090534979424,0.4424542417667067
1.9,17.633808135986328,54.0,2.0,2.0,0.01646090534979424,0.4424633279790185
1.916667,17.63399314880371,54.0,2.0,2.0,0.01646090534979424,0.4424631589564165
1.933333,17.630504608154297,54.0,2.0,2.0,0.01646090534979424,0.44244516433047554
1.95,17.630395889282227,54.0,2.0,2.0,0.01646090534979424,0.44243903803395945
1.966667,3.744631052017212,8.0,2.0,15.0,0.0013717421124828531,0.07838597803113005
1.983333,4.241633892059326,12.0,2.0,22.0,0.0013717421124828531,0.08095257980525573
2.0,12.258735656738281,64.0,3.0,75.0,0.06995884773662552,0.13909452896280086
2.016667,22.196556091308594,104.0,9.0,116.0,0.19478737997256515,0.18202382285393984
2.033333,30.94884490966797,125.0,36.0,150.0,0.27709190672153633,0.24302583813358272
2.05,34.6661376953125,134.0,43.0,173.0,0.35802469135802467,0.34991792530271937
2.066667,37.43703079223633,133.0,43.0,183.0,0.4499314128943759,0.44612468493014523
2.083333,39.84675979614258,130.0,45.0,179.0,0.5253772290809328,0.541874475339377
2.1,41.06010818481445,125.0,52.0,165.0,0.598079561042524,0.6227299329058988
2.116667,40.36113357543945,122.0,57.0,149.0,0.6556927297668038,0.6924735192620913
2.133333,37.62109375,115.0,58.0,128.0,0.700960219478738,0.7632259026140876
2.15,33.16050720214844,105.0,52.0,112.0,0.8943758573388203,0.8196744809504237
2.166667,28.217729568481445,91.0,47.0,101.0,0.9958847736625515,0.850226007790066
2.183333,23.09571647644043,72.0,41.0,88.0,1.0,0.861217548965921
2.2,18.82499885559082,57.0,35.0,67.0,0.9958847736625515,0.8355815579037241
2.216667,15.644925117492676,44.0,29.0,54.0,1.0,0.7812393540747916
2.233333,12.541037559509277,32.0,26.0,43.0,0.9986282578875172,0.7218641252701348
2.266667,8.429157257080078,17.0,20.0,29.0,1.0,0.6010587937147472
2.283333,7.215147495269775,14.0,17.0,25.0,1.0,0.567764840942716
2.3,6.070960998535156,12.0,15.0,23.0,1.0,0.5388388724082344
2.316667,5.046444416046143,10.0,13.0,21.0,0.9986282578875172,0.5016216101031593
2.333333,4.500027656555176,9.0,13.0,19.0,0.45816186556927296,0.48009198681273996
2.35,3.477790594100952,7.0,12.0,19.0,0.45816186556927296,0.47072551992882755
2.366667,3.4837992191314697,7.0,11.0,19.0,0.4567901234567901,0.463307566155985
2.383333,3.0152599811553955,6.0,11.0,17.0,0.41289437585733885,0.4506621216522075
2.4,2.4907686710357666,5.0,11.0,17.0,0.36899862825788754,0.45802819137284995
2.416667,2.5707147121429443,6.0,11.0,16.0,0.39780521262002744,0.4620881803030641
2.433333,2.553739309310913,5.0,10.0,16.0,0.40054869684499317,0.4498528496974727
2.45,2.613429069519043,6.0,10.0,16.0,0.35665294924554186,0.44562688275433204
2.466667,2.618208646774292,6.0,10.0,16.0,0.36899862825788754,0.4427081688384853
2.483333,2.646009683609009,6.0,10.0,16.0,0.36899862825788754,0.44415935437708154
2.5,2.603471517562866,5.0,10.0,16.0,0.36899862825788754,0.44050610955881875
2.516667,2.5871002674102783,5.0,10.0,16.0,0.35665294924554186,0.4387772787490487
2.533333,2.607133150100708,5.0,10.0,16.0,0.35665294924554186,0.4404967327222172
2.55,2.655359983444214,6.0,10.0,16.0,0.35665294924554186,0.4434268587730897
2.566667,2.6247830390930176,5.0,10.0,16.0,0.36899862825788754,0.4400224351585871
2.583333,2.0099456310272217,4.0,10.0,16.0,0.36899862825788754,0.4332205463772263
2.6,1.9895131587982178,5.0,10.0,15.0,0.4609053497942387,0.4421266796980344
2.616667,1.548715353012085,4.0,9.0,14.0,0.36899862825788754,0.45467498375740406
2.65,0.0,0.0,7.0,11.0,0.3319615912208505,0.4560856525074981
2.666667,1.1697211265563965,3.0,6.0,7.0,0.4348422496570645,0.5103576551177493
2.683333,2.552412271499634,6.0,3.0,6.0,0.2222222222222222,0.4230033373422015
2.7,2.939709424972534,6.0,2.0,5.0,0.27023319615912206,0.4704835502245327
